tree;area;d1;d2;h;cover;collapsed_cropsize;neighboiurhood_cropsize;n_neigh;long;diam;cowe;nseed;totalseedw;oneseedw;fweight;sunken;fa_4cone_chl;fa_apo;fa_mus;fa_mesophleps;fa_elachista;fa_nanodiscus;fa_megastigmus;x_lat;y_long
C126;SABCOL;385;294;448;10.3;583;3;6;9.41;9.88;418.17;5.3;94.37;17.87;323.8;17.13;0;0;0;0.09;0.05;0.05;0.13;37000802;-6506527
C131;SABCOL;228;210;235;4.48;947;3;5;9.7;9.85;436.86;6.24;116.8;18.74;320.06;20.4;0.1;0;0;0.16;0;0.04;0;37000499;-6506706
C140;SABCOL;373;343;537;16.8;7090;5;7;9.29;9.36;394.45;4.38;98.76;22.89;295.69;38.28;0.3;0.058139535;0;0.02;0;0;0;37000617;-6506618
C141;SABCOL;410;297;503;9.85;2568;4;7;9.43;9.88;419.57;5.24;138.12;26.71;281.45;61.18;0.133333333;0;0;0.04;0;0.08;0.02;37000837;-6505893
C150;SABCOL;390;386;412;3.75;2570;4;6;9.58;8.94;342.07;4.36;102.94;24.09;239.13;44.66;0.133333333;0.081395349;0;0.11;0;0.04;0;37000829;-6506712
C153;SABCOL;685;630;515;12.9;4915;4;3;10.74;9.62;489.58;4.78;115.35;24.67;374.23;29.41;0.233333333;0;0;0.01;0;0.04;0.04;37000259;-6506738
C162;SABCOL;1035;846;715;94.3;26155;5;1;9.89;8.94;403.6;5.94;93.84;16.01;309.75;58.36;0.6;0;0;0.01;0;0.01;0;37000214;-650608
C165;SABCOL;718;629;544;44.6;10797;5;4;9.44;9.21;362.87;5.14;100.12;19.75;262.75;16.48;0.233333333;0;0.011627907;0.09;0;0;0.03;37000622;-6506253
C168;SABCOL;453;402;556;8.9;7543;4;2;9.5;9.58;432.38;5.78;131.08;22.86;301.31;70.01;0.1;0;0.011627907;0.07;0;0.02;0;37000672;-6506168
C172;SABCOL;525;500;538;31.4;7622;4;2;10.65;9.63;451.14;5.54;114.83;20.84;336.31;34.58;0.366666667;0;0.011627907;0.04;0;0.13;0;37000657;-6506135
